36.397 UE/Lynch
NSROC Attitude Solution
T0: 02/10/2026 10:19:00.0053 UTC

    Time,     YawI,   PitchI,    RollI, RollRateI,    AoA_T,   AngleB,      a11,      a12,      a13,      a21,      a22,      a23,      a31,      a32,      a33,     X_Az,     X_El,     Y_Az,     Y_El,     Z_Az,     Z_El,     F_Az,     F_El,    Latgd,     Long,      Alt
   (sec),    (deg),    (deg),    (deg),     (Hz),    (deg),    (deg),      ( - ),      ( - ),      ( - ),      ( - ),      ( - ),      ( - ),      ( - ),      ( - ),      ( - ),    (deg),    (deg),    (deg),    (deg),    (deg),    (deg),    (deg),    (deg),    (deg),    (deg),      (m)

-0.01217563,    0.000,    0.000,    0.000,    0.003,   14.587,  156.447,   0.016026,   0.994648,   0.102068,   0.186714,  -0.103263,   0.976972,   0.982284,   0.003401,  -0.187369,     4.91,    79.20,    95.93,     0.19,     5.96,   -10.80,   -93.23,    81.56,    65.129785,  -147.485540,     222.08
-0.00217559,   -0.000,   -0.001,    0.060,    0.017,    9.341,  156.446,   0.016026,   0.994755,   0.101026,   0.186734,  -0.102239,   0.977076,   0.982280,   0.003206,  -0.187393,     4.91,    79.20,    95.87,     0.18,     5.90,   -10.80,   -54.55,    83.47,    65.129785,  -147.485540,     222.10
0.00782345,   -0.000,   -0.000,    0.000,    0.008,   13.517,  156.452,   0.015953,   0.994841,   0.100187,   0.186642,  -0.101402,   0.977181,   0.982298,   0.003110,  -0.187297,     4.89,    79.20,    95.82,     0.18,     5.85,   -10.80,   -94.86,    83.46,    65.129785,  -147.485540,     222.15
0.01782448,    0.001,    0.002,    0.075,    0.021,   17.666,  156.453,   0.015971,   0.994970,   0.098890,   0.186612,  -0.100131,   0.977318,   0.982304,   0.002846,  -0.187272,     4.89,    79.21,    95.75,     0.16,     5.78,   -10.79,  -157.14,    82.92,    65.129785,  -147.485540,     222.21
0.02782352,    0.006,   -0.001,    0.141,    0.012,   17.094,  156.450,   0.016059,   0.995083,   0.097733,   0.186648,  -0.099011,   0.977425,   0.982296,   0.002546,  -0.187320,     4.92,    79.20,    95.68,     0.15,     5.71,   -10.80,   140.58,    82.37,    65.129785,  -147.485539,     222.27
0.03782355,   -0.000,    0.009,    0.172,    0.008,   11.494,  156.461,   0.015933,   0.995136,   0.097211,   0.186489,  -0.098475,   0.977509,   0.982328,   0.002554,  -0.187151,     4.88,    79.21,    95.65,     0.15,     5.68,   -10.79,    78.30,    81.83,    65.129785,  -147.485539,     222.33
0.04782259,    0.004,    0.020,    0.203,    0.011,    2.783,  156.472,   0.015987,   0.995188,   0.096668,   0.186288,  -0.097953,   0.977600,   0.982365,   0.002379,  -0.186958,     4.91,    79.22,    95.62,     0.14,     5.65,   -10.78,    16.03,    81.29,    65.129785,  -147.485539,     222.39
0.05782362,    0.011,    0.027,    0.203,    0.000,    1.593,  156.478,   0.016093,   0.995186,   0.096670,   0.186164,  -0.097974,   0.977622,   0.982387,   0.002264,  -0.186845,     4.94,    79.23,    95.62,     0.13,     5.65,   -10.77,     2.57,    80.77,    65.129785,  -147.485539,     222.46
