rocket,gap_start_tg_s,gap_end_tg_s,gap_duration_s,launch_t0_utc,source_file
397,2.600000,2.900000,0.300000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,2.900000,3.100000,0.200000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,8.950000,9.050000,0.100000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,9.100000,9.300000,0.200000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,9.300000,9.450000,0.150000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,537.250000,537.400000,0.150000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,540.350000,540.450000,0.100000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,540.550000,540.800000,0.250000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,540.950000,541.200000,0.250000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,541.400000,541.500000,0.100000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,541.850000,541.950000,0.100000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,541.950000,542.050000,0.100000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,542.100000,542.300000,0.200000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,542.600000,542.750000,0.150000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,543.050000,543.250000,0.200000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,543.400000,543.500000,0.100000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,543.500000,543.700000,0.200000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,543.700000,543.800000,0.100000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,543.800000,543.900000,0.100000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,544.050000,544.150000,0.100000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,544.200000,544.300000,0.100000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,545.100000,545.300000,0.200000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,545.350000,545.450000,0.100000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,545.650000,545.750000,0.100000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,545.750000,545.850000,0.100000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,545.900000,546.100000,0.200000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,546.150000,546.250000,0.100000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,546.450000,546.550000,0.100000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,547.250000,547.350000,0.100000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,548.050000,548.200000,0.150000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,548.300000,548.400000,0.100000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,548.400000,548.500000,0.100000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,549.050000,549.150000,0.100000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,549.850000,549.950000,0.100000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,552.200000,552.300000,0.100000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,552.550000,552.650000,0.100000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,553.500000,553.600000,0.100000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,553.850000,554.000000,0.150000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,554.000000,554.200000,0.200000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,554.200000,554.600000,0.400000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,554.600000,554.850000,0.250000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,554.950000,555.700000,0.750000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,555.750000,556.200000,0.450000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,556.350000,556.500000,0.150000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,556.500000,556.600000,0.100000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,556.600000,556.700000,0.100000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,556.750000,558.250000,1.500000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
398,-162.450000,-162.350000,0.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,-158.700000,-157.250000,1.450000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,-132.900000,-130.800000,2.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,67.500000,67.650000,0.150000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
